RegionID,State,County,City,ZipCode
74909,MS,Panola County,Como,38619
74910,MS,Panola County,Courtland,38620
74911,MS,Panola County,Sarah,38621
74915,MS,Tunica County,Dundee,38626
74921,MS,DeSoto County,Hernando,38632
74924,MS,Marshall County,,38635
74925,MS,DeSoto County,Horn Lake,38637
74928,MS,DeSoto County,Walls,38641
74936,MS,Union County,Myrtle,38650
74937,MS,DeSoto County,Nesbit,38651
74938,MS,Union County,New Albany,38652
74939,MS,DeSoto County,Olive Branch,38654
74940,MS,Lafayette County,Oxford,38655
74941,MS,Panola County,Pope,38658
74944,MS,Tippah County,Ripley,38663
74945,MS,Tunica County,Robinsonville,38664
74946,MS,Tate County,Sarah,38665
74947,MS,Panola County,Sardis,38666
74948,MS,Tate County,Senatobia,38668
74951,MS,DeSoto County,Southaven,38671
74952,MS,DeSoto County,Southaven,38672
74953,MS,Lafayette County,Taylor,38673
74956,MS,Tunica County,Tunica,38676
74959,MS,DeSoto County,,38680
74971,MS,Bolivar County,Benoit,38725
74975,MS,Bolivar County,Cleveland,38732
74977,MS,Sunflower County,Ruleville,38736
74978,MS,Sunflower County,Drew,38737
74987,MS,Sunflower County,Indianola,38751
74988,MS,Sunflower County,Inverness,38753
74989,MS,Humphreys County,Isola,38754
74991,MS,Bolivar County,,38759
74993,MS,Sunflower County,Moorhead,38761
74999,MS,Bolivar County,Rosedale,38769
75000,MS,Sunflower County,Ruleville,38771
75002,MS,Sunflower County,Shaw,38773
75005,MS,Sunflower County,Sunflower,38778
75009,MS,Lee County,Tupelo,38801
75012,MS,Lee County,Tupelo,38804
75014,MS,Monroe County,Amory,38821
75015,MS,Prentiss County,Baldwyn,38824
75017,MS,Lee County,Belden,38826
75019,MS,Union County,Blue Springs,38828
75022,MS,Alcorn County,Corinth,38834
75027,MS,Itawamba County,Fulton,38843
75032,MS,Lee County,Guntown,38849
75033,MS,Chickasaw County,New Houlka,38850
75034,MS,Chickasaw County,Houston,38851
75035,MS,Tishomingo County,Iuka,38852
75038,MS,Lee County,Mooreville,38857
75039,MS,Lee County,Nettleton,38858
75041,MS,Chickasaw County,Okolona,38860
75043,MS,Pontotoc County,Pontotoc,38863
75046,MS,Lee County,Saltillo,38866
75056,MS,Calhoun County,Vardaman,38878
75059,MS,Grenada County,Grenada,38901
75061,MS,Calhoun County,Banner,38913
75062,MS,Calhoun County,Big Creek,38914
75063,MS,Calhoun County,Bruce,38915
75064,MS,Calhoun County,,38916
75065,MS,Carroll County,,38917
75066,MS,Tallahatchie County,Cascilla,38920
75067,MS,Tallahatchie County,Charleston,38921
75068,MS,Yalobusha County,Coffeeville,38922
75069,MS,Carroll County,Coila,38923
75071,MS,Montgomery County,Winona,38925
75073,MS,Tallahatchie County,Enid,38927
75075,MS,Grenada County,Gore Springs,38929
75076,MS,Leflore County,Greenwood,38930
75078,MS,Grenada County,Holcomb,38940
75079,MS,Leflore County,Itta Bena,38941
75080,MS,Carroll County,Grenada,38943
75085,MS,Yalobusha County,Oakland,38948
75088,MS,Calhoun County,Pittsboro,38951
75090,MS,Yalobusha County,Scobey,38953
75091,MS,Leflore County,Sidon,38954
75099,MS,Tallahatchie County,Tutwiler,38963
75101,MS,Yalobusha County,Water Valley,38965
75103,MS,Montgomery County,Winona,38967
75104,MS,Humphreys County,Belzoni,39038
75107,MS,Hinds County,Bolton,39041
75108,MS,Rankin County,Brandon,39042
75110,MS,Simpson County,,39044
75112,MS,Madison County,Canton,39046
75113,MS,Rankin County,Brandon,39047
75114,MS,Leake County,Carthage,39051
75116,MS,Hinds County,Clinton,39056
75119,MS,Copiah County,Crystal Springs,39059
75123,MS,Holmes County,Durant,39063
75124,MS,Hinds County,Edwards,39066
75125,MS,Attala County,Ethel,39067
75126,MS,Jefferson County,Fayette,39069
75127,MS,Madison County,Flora,39071
75129,MS,Rankin County,Florence,39073
75130,MS,Scott County,Forest,39074
75133,MS,Holmes County,Goodman,39079
75137,MS,Copiah County,Hazlehurst,39083
75141,MS,Attala County,Kosciusko,39090
75144,MS,Holmes County,Lexington,39095
75145,MS,Jefferson County,Fayette,39096
75146,MS,Humphreys County,Louise,39097
75149,MS,Choctaw County,McCool,39108
