State ,County,Family,Housing1,Food1,Transportation1,Healthcare1,Other Necessities1,Childcare1,Taxes1,Total1,Housing2,Food2,Transportation2,Healthcare2,Other Necessities 2,Childcare2,Taxes2,Total2,median_family_income,st_cost_rank,st_income_rank
AL,Autauga County,1p0c,709,288,902,478,361,0,533,3271,8506,3455,10829,5737,4334,0,6393,39254,73010,2,7
AL,Autauga County,1p1c,1006,424,966,722,518,512,619,4766,12068,5092,11588,8660,6217,6148,7422,57194,73010,2,7
AL,Autauga County,1p2c,1006,622,1030,965,590,1319,814,6345,12068,7460,12362,11582,7076,15825,9770,76141,73010,2,7
AL,Autauga County,1p3c,1271,829,1121,1209,761,1567,1092,7850,15257,9952,13452,14504,9134,18802,13102,94204,73010,2,7
AL,Autauga County,1p4c,1271,1015,1145,1452,829,1567,1122,8402,15257,12182,13745,17426,9942,18802,13469,100824,73010,2,7
AL,Autauga County,2p0c,848,528,1072,956,499,0,686,4589,10180,6334,12862,11475,5984,0,8237,55072,73010,2,7
AL,Autauga County,2p1c,1006,657,1132,1200,602,512,788,5898,12068,7883,13589,14397,7229,6148,9460,70774,73010,2,7
AL,Autauga County,2p2c,1006,832,1227,1443,666,1319,931,7423,12068,9984,14724,17319,7990,15825,11169,89078,73010,2,7
AL,Autauga County,2p3c,1271,1016,1250,1687,829,1567,1101,8720,15257,12190,14995,20241,9945,18802,13210,104640,73010,2,7
AL,Autauga County,2p4c,1271,1243,1255,1930,911,1567,1118,9296,15257,14917,15064,23163,10933,18802,13417,111555,73010,2,7
AL,Baldwin County,1p0c,718,310,894,466,372,0,538,3298,8616,3714,10732,5593,4468,0,6456,39579,77885,3,3
AL,Baldwin County,1p1c,922,456,960,704,499,497,591,4630,11064,5474,11523,8444,5992,5963,7097,55557,77885,3,3
AL,Baldwin County,1p2c,922,668,1072,941,576,1279,790,6249,11064,8020,12869,11295,6915,15348,9478,74989,77885,3,3
AL,Baldwin County,1p3c,1249,892,1121,1179,776,1520,1083,7819,14988,10699,13453,14145,9308,18236,12998,93827,77885,3,3
AL,Baldwin County,1p4c,1249,1091,1148,1416,848,1520,1119,8392,14988,13097,13773,16996,10176,18236,13434,100700,77885,3,3
AL,Baldwin County,2p0c,723,567,1070,932,468,0,652,4412,8676,6810,12838,11187,5611,0,7820,52942,77885,3,3
AL,Baldwin County,2p1c,922,706,1185,1170,590,497,778,5848,11064,8475,14214,14037,7080,5963,9341,70175,77885,3,3
AL,Baldwin County,2p2c,922,894,1231,1407,658,1279,906,7297,11064,10734,14768,16888,7898,15348,10867,87567,77885,3,3
AL,Baldwin County,2p3c,1249,1092,1256,1645,848,1520,1098,8708,14988,13105,15071,19739,10179,18236,13173,104491,77885,3,3
AL,Baldwin County,2p4c,1249,1336,1265,1882,937,1520,1122,9311,14988,16037,15175,22589,11242,18236,13462,111729,77885,3,3
AL,Barbour County,1p0c,488,270,908,474,275,0,455,2869,5856,3237,10891,5687,3295,0,5458,34424,42823,56,64
AL,Barbour County,1p1c,648,398,953,708,379,404,452,3941,7776,4771,11436,8496,4546,4847,5426,47297,42823,56,64
AL,Barbour County,1p2c,648,582,1003,942,446,970,520,5111,7776,6990,12037,11305,5350,11645,6235,61338,42823,56,64
AL,Barbour County,1p3c,806,777,1034,1176,574,1145,629,6140,9672,9325,12405,14114,6883,13736,7543,73678,42823,56,64
AL,Barbour County,1p4c,806,951,1044,1410,637,1145,600,6593,9672,11414,12531,16923,7640,13736,7204,79121,42823,56,64
AL,Barbour County,2p0c,492,495,1059,948,357,0,553,3904,5904,5935,12712,11374,4290,0,6632,46845,42823,56,64
AL,Barbour County,2p1c,648,616,1106,1182,458,404,616,5029,7776,7386,13272,14183,5494,4847,7386,60344,42823,56,64
AL,Barbour County,2p2c,648,780,1134,1416,517,970,671,6137,7776,9354,13612,16992,6207,11645,8052,73638,42823,56,64
AL,Barbour County,2p3c,806,952,1143,1650,637,1145,726,7059,9672,11421,13721,19801,7643,13736,8714,84709,42823,56,64
AL,Barbour County,2p4c,806,1165,1137,1884,714,1145,688,7538,9672,13977,13640,22610,8569,13736,8254,90457,42823,56,64
AL,Bibb County,1p0c,664,254,954,487,333,0,522,3214,7974,3050,11446,5845,3995,0,6261,38572,59444,11,22
AL,Bibb County,1p1c,815,375,1019,735,431,447,538,4359,9780,4495,12234,8821,5172,5361,6450,52313,59444,11,22
AL,Bibb County,1p2c,815,549,1131,983,494,1150,677,5798,9780,6586,13566,11797,5930,13798,8121,69579,59444,11,22
AL,Bibb County,1p3c,1060,732,1175,1231,649,1366,881,7094,12717,8787,14095,14773,7792,16394,10570,85127,59444,11,22
AL,Bibb County,1p4c,1060,896,1197,1479,709,1366,891,7598,12717,10755,14358,17748,8505,16394,10692,91171,59444,11,22
AL,Bibb County,2p0c,708,466,1116,974,426,0,635,4325,8501,5592,13392,11691,5107,0,7616,51898,59444,11,22
AL,Bibb County,2p1c,815,580,1229,1222,505,447,711,5510,9780,6960,14747,14667,6065,5361,8537,66116,59444,11,22
AL,Bibb County,2p2c,815,735,1270,1470,561,1150,808,6809,9780,8815,15243,17642,6737,13798,9694,81710,59444,11,22
AL,Bibb County,2p3c,1060,897,1290,1718,709,1366,911,7952,12717,10762,15485,20618,8508,16394,10934,95419,59444,11,22
AL,Bibb County,2p4c,1060,1098,1294,1966,782,1366,911,8477,12717,13170,15526,23594,9380,16394,10936,101718,59444,11,22
AL,Blount County,1p0c,604,271,944,487,317,0,505,3129,7246,3258,11329,5845,3806,0,6063,37547,63966,14,15
AL,Blount County,1p1c,741,400,1014,735,413,427,514,4244,8887,4801,12168,8821,4960,5119,6172,50928,63966,14,15
AL,Blount County,1p2c,741,586,1129,983,481,1098,643,5660,8887,7035,13547,11797,5769,13176,7711,67921,63966,14,15
AL,Blount County,1p3c,963,782,1177,1231,632,1305,832,6922,11556,9384,14123,14773,7588,15655,9983,83062,63966,14,15
AL,Blount County,1p4c,963,957,1203,1479,696,1305,849,7452,11556,11487,14435,17748,8350,15655,10191,89423,63966,14,15
AL,Blount County,2p0c,644,498,1109,974,414,0,622,4261,7725,5973,13309,11691,4963,0,7467,51128,63966,14,15
AL,Blount County,2p1c,741,619,1226,1222,493,427,694,5421,8887,7434,14709,14667,5914,5119,8325,65054,63966,14,15
AL,Blount County,2p2c,741,785,1271,1470,553,1098,787,6704,8887,9414,15253,17642,6631,13176,9439,80443,63966,14,15
AL,Blount County,2p3c,963,958,1295,1718,696,1305,882,7817,11556,11494,15544,20618,8352,15655,10581,93801,63966,14,15
AL,Blount County,2p4c,963,1172,1303,1966,774,1305,884,8367,11556,14066,15636,23594,9284,15655,10609,100400,63966,14,15
AL,Bullock County,1p0c,532,287,963,474,297,0,488,3041,6384,3445,11558,5687,3561,0,5859,36494,44495,22,62
AL,Bullock County,1p1c,705,423,1017,708,409,422,503,4186,8460,5076,12202,8496,4905,5067,6031,50236,44495,22,62
AL,Bullock County,1p2c,705,620,1071,942,480,1014,583,5415,8460,7438,12850,11305,5760,12173,6991,64978,44495,22,62
AL,Bullock County,1p3c,877,827,1104,1176,617,1197,727,6525,10524,9922,13252,14114,7409,14360,8724,78305,44495,22,62
AL,Bullock County,1p4c,877,1012,1117,1410,685,1197,725,7023,10524,12146,13410,16923,8214,14360,8700,84276,44495,22,62
AL,Bullock County,2p0c,549,526,1104,948,390,0,593,4110,6588,6315,13252,11374,4675,0,7116,49320,44495,22,62
AL,Bullock County,2p1c,705,655,1155,1182,493,422,665,5277,8460,7860,13856,14183,5913,5067,7980,63318,44495,22,62
AL,Bullock County,2p2c,705,830,1186,1416,556,1014,733,6440,8460,9954,14230,16992,6672,12173,8795,77276,44495,22,62
AL,Bullock County,2p3c,877,1013,1197,1650,685,1197,800,7419,10524,12153,14369,19801,8217,14360,9605,89029,44495,22,62
AL,Bullock County,2p4c,877,1239,1193,1884,767,1197,778,7935,10524,14873,14319,22610,9202,14360,9337,95224,44495,22,62
AL,Butler County,1p0c,479,257,921,474,267,0,451,2848,5748,3081,11053,5687,3199,0,5411,34179,51858,66,49
AL,Butler County,1p1c,634,378,974,708,367,403,444,3908,7608,4541,11689,8496,4402,4834,5332,46902,51858,66,49
AL,Butler County,1p2c,634,554,1029,942,431,968,511,5069,7608,6654,12351,11305,5168,11613,6130,60828,51858,66,49
AL,Butler County,1p3c,789,740,1065,1176,554,1142,613,6078,9468,8876,12775,14114,6647,13699,7356,72935,51858,66,49
AL,Butler County,1p4c,789,905,1079,1410,614,1142,582,6521,9468,10865,12953,16923,7368,13699,6980,78256,51858,66,49
AL,Butler County,2p0c,556,471,1074,948,372,0,570,3990,6672,5649,12887,11374,4464,0,6835,47882,51858,66,49
AL,Butler County,2p1c,634,586,1126,1182,442,403,605,4978,7608,7031,13507,14183,5304,4834,7264,59730,51858,66,49
AL,Butler County,2p2c,634,742,1159,1416,499,968,659,6075,7608,8905,13903,16992,5983,11613,7902,72905,51858,66,49
AL,Butler County,2p3c,789,906,1172,1650,614,1142,710,6983,9468,10872,14061,19801,7370,13699,8526,83796,51858,66,49
AL,Butler County,2p4c,789,1109,1169,1884,688,1142,669,7449,9468,13305,14030,22610,8251,13699,8027,89391,51858,66,49
AL,Calhoun County,1p0c,482,258,866,458,268,0,435,2767,5784,3092,10394,5497,3216,0,5222,33205,60734,32,20
AL,Calhoun County,1p1c,723,380,922,692,400,427,466,4009,8676,4557,11067,8300,4795,5122,5594,48111,60734,32,20
AL,Calhoun County,1p2c,723,556,984,925,464,1099,561,5312,8676,6676,11810,11103,5563,13184,6732,63744,60734,32,20
AL,Calhoun County,1p3c,944,742,1027,1159,611,1305,724,6512,11328,8906,12325,13906,7332,15665,8682,78144,60734,32,20
AL,Calhoun County,1p4c,944,908,1050,1392,671,1305,714,6986,11328,10902,12600,16709,8055,15665,8568,83826,60734,32,20
AL,Calhoun County,2p0c,549,472,1040,916,370,0,552,3899,6588,5668,12475,10995,4441,0,6621,46788,60734,32,20
AL,Calhoun County,2p1c,723,588,1098,1150,475,427,627,5088,8676,7055,13177,13798,5700,5122,7529,61056,60734,32,20
AL,Calhoun County,2p2c,723,745,1139,1383,532,1099,711,6331,8676,8935,13665,16601,6381,13184,8529,75971,60734,32,20
AL,Calhoun County,2p3c,944,909,1160,1617,671,1305,797,7404,11328,10909,13923,19403,8057,15665,9569,88854,60734,32,20
AL,Calhoun County,2p4c,944,1112,1218,1851,745,1305,784,7960,11328,13349,14618,22206,8942,15665,9408,95517,60734,32,20
AL,Chambers County,1p0c,534,252,908,474,285,0,464,2917,6408,3030,10894,5687,3420,0,5572,35009,55004,33,41
AL,Chambers County,1p1c,744,372,955,708,404,432,485,4100,8928,4465,11455,8496,4853,5187,5820,49204,55004,33,41
AL,Chambers County,1p2c,744,545,1008,942,467,1039,559,5304,8928,6542,12094,11305,5605,12463,6713,63650,55004,33,41
AL,Chambers County,1p3c,956,727,1042,1176,610,1225,706,6443,11472,8727,12509,14114,7319,14702,8469,77311,55004,33,41
AL,Chambers County,1p4c,956,890,1057,1410,669,1225,688,6895,11472,10682,12686,16923,8027,14702,8252,82745,55004,33,41
AL,Chambers County,2p0c,620,463,1067,948,392,0,587,4077,7440,5554,12810,11374,4708,0,7040,48925,55004,33,41
AL,Chambers County,2p1c,744,576,1117,1182,478,432,645,5175,8928,6913,13409,14183,5740,5187,7736,62095,55004,33,41
AL,Chambers County,2p2c,744,730,1150,1416,534,1039,709,6320,8928,8755,13797,16992,6407,12463,8504,75846,55004,33,41
AL,Chambers County,2p3c,956,891,1163,1650,669,1225,784,7338,11472,10689,13956,19801,8030,14702,9404,88054,55004,33,41
AL,Chambers County,2p4c,956,1090,1160,1884,741,1225,746,7803,11472,13081,13925,22610,8896,14702,8952,93638,55004,33,41
AL,Cherokee County,1p0c,479,281,927,474,275,0,460,2897,5748,3372,11128,5687,3305,0,5524,34763,57032,41,32
AL,Cherokee County,1p1c,634,414,989,708,380,406,463,3994,7608,4969,11871,8496,4557,4872,5557,47931,57032,41,32
AL,Cherokee County,1p2c,634,607,1051,942,450,975,537,5196,7608,7281,12614,11305,5395,11705,6445,62354,57032,41,32
AL,Cherokee County,1p3c,877,809,1093,1176,611,1151,699,6416,10524,9713,13111,14114,7333,13808,8386,76988,57032,41,32
AL,Cherokee County,1p4c,877,991,1114,1410,677,1151,692,6911,10524,11890,13363,16923,8121,13808,8308,82937,57032,41,32
AL,Cherokee County,2p0c,481,515,1085,948,361,0,562,3953,5772,6182,13026,11374,4331,0,6747,47432,57032,41,32
AL,Cherokee County,2p1c,634,641,1144,1182,462,406,629,5098,7608,7694,13723,14183,5544,4872,7553,61177,57032,41,32
AL,Cherokee County,2p2c,634,812,1183,1416,524,975,691,6235,7608,9744,14190,16992,6287,11705,8294,74821,57032,41,32
AL,Cherokee County,2p3c,877,991,1202,1650,677,1151,782,7330,10524,11897,14422,19801,8124,13808,9385,87961,57032,41,32
AL,Cherokee County,2p4c,877,1213,1205,1884,757,1151,756,7844,10524,14559,14465,22610,9089,13808,9069,94123,57032,41,32
AL,Chilton County,1p0c,595,272,927,487,314,0,499,3094,7140,3268,11123,5845,3771,0,5982,37130,56402,17,34
AL,Chilton County,1p1c,713,401,992,735,404,429,500,4174,8556,4816,11901,8821,4845,5151,6001,50093,56402,17,34
AL,Chilton County,1p2c,713,588,1055,983,471,1105,609,5525,8556,7057,12662,11797,5657,13259,7314,66302,56402,17,34
AL,Chilton County,1p3c,1020,785,1098,1231,654,1313,836,6936,12240,9414,13174,14773,7846,15754,10032,83233,56402,17,34
AL,Chilton County,1p4c,1020,960,1168,1479,718,1313,871,7529,12240,11524,14017,17748,8611,15754,10457,90350,56402,17,34
AL,Chilton County,2p0c,625,499,1086,974,407,0,611,4202,7500,5992,13027,11691,4889,0,7331,50430,56402,17,34
AL,Chilton County,2p1c,713,621,1145,1222,484,429,666,5280,8556,7457,13742,14667,5802,5151,7989,63364,56402,17,34
AL,Chilton County,2p2c,713,787,1185,1470,544,1105,758,6562,8556,9444,14223,17642,6522,13259,9093,78740,56402,17,34
AL,Chilton County,2p3c,1020,961,1259,1718,718,1313,896,7885,12240,11531,15114,20618,8613,15754,10747,94616,56402,17,34
AL,Chilton County,2p4c,1020,1176,1263,1966,796,1313,901,8435,12240,14111,15161,23594,9548,15754,10812,101220,56402,17,34
AL,Choctaw County,1p0c,479,259,984,474,267,0,467,2929,5748,3102,11810,5687,3207,0,5600,35153,48013,50,59
AL,Choctaw County,1p1c,634,381,1052,708,368,402,467,4011,7608,4572,12624,8496,4413,4819,5598,48130,48013,50,59
AL,Choctaw County,1p2c,634,558,1116,942,432,965,534,5181,7608,6699,13395,11305,5184,11577,6409,62177,48013,50,59
AL,Choctaw County,1p3c,789,745,1159,1176,556,1138,646,6209,9468,8936,13908,14114,6669,13657,7752,74504,48013,50,59
AL,Choctaw County,1p4c,789,912,1232,1410,616,1138,641,6739,9468,10938,14784,16923,7394,13657,7698,80862,48013,50,59
AL,Choctaw County,2p0c,481,474,1131,948,346,0,560,3939,5772,5687,13569,11374,4152,0,6715,47270,48013,50,59
AL,Choctaw County,2p1c,634,590,1191,1182,443,402,623,5065,7608,7078,14293,14183,5321,4819,7472,60775,48013,50,59
AL,Choctaw County,2p2c,634,747,1231,1416,500,965,678,6172,7608,8965,14774,16992,6005,11577,8138,74059,48013,50,59
AL,Choctaw County,2p3c,789,912,1307,1650,616,1138,747,7160,9468,10945,15688,19801,7396,13657,8965,85920,48013,50,59
AL,Choctaw County,2p4c,789,1116,1311,1884,690,1138,709,7638,9468,13394,15734,22610,8284,13657,8507,91654,48013,50,59
AL,Clarke County,1p0c,479,253,938,474,265,0,454,2864,5748,3040,11257,5687,3184,0,5447,34363,54377,60,42
AL,Clarke County,1p1c,634,373,986,708,365,411,449,3926,7608,4480,11829,8496,4380,4935,5385,47113,54377,60,42
AL,Clarke County,1p2c,634,547,1037,942,428,988,515,5092,7608,6564,12444,11305,5135,11857,6186,61099,54377,60,42
AL,Clarke County,1p3c,907,730,1069,1176,593,1166,673,6313,10884,8757,12825,14114,7117,13987,8070,75753,54377,60,42
AL,Clarke County,1p4c,907,893,1080,1410,652,1166,646,6755,10884,10719,12960,16923,7828,13987,7755,81055,54377,60,42
AL,Clarke County,2p0c,493,464,1086,948,347,0,550,3888,5916,5573,13035,11374,4163,0,6595,46656,54377,60,42
AL,Clarke County,2p1c,634,578,1134,1182,439,411,607,4985,7608,6936,13610,14183,5270,4935,7282,59825,54377,60,42
AL,Clarke County,2p2c,634,732,1164,1416,495,988,662,6090,7608,8785,13964,16992,5940,11857,7939,73084,54377,60,42
AL,Clarke County,2p3c,907,894,1174,1650,652,1166,755,7197,10884,10726,14083,19801,7830,13987,9057,86367,54377,60,42
AL,Clarke County,2p4c,907,1094,1220,1884,725,1166,727,7722,10884,13125,14639,22610,8700,13987,8720,92665,54377,60,42
AL,Clay County,1p0c,479,271,937,474,272,0,459,2892,5748,3258,11239,5687,3263,0,5513,34708,51317,45,50
AL,Clay County,1p1c,634,400,993,708,375,417,462,3989,7608,4801,11920,8496,4496,4999,5543,47863,51317,45,50
AL,Clay County,1p2c,634,586,1051,942,442,1001,536,5192,7608,7035,12609,11305,5306,12009,6436,62307,51317,45,50
AL,Clay County,1p3c,868,782,1088,1176,598,1181,690,6383,10416,9384,13056,14114,7174,14167,8286,76597,51317,45,50
AL,Clay County,1p4c,868,957,1105,1410,661,1181,677,6859,10416,11487,13257,16923,7936,14167,8124,82310,51317,45,50
AL,Clay County,2p0c,556,498,1087,948,382,0,582,4052,6672,5973,13046,11374,4582,0,6981,48627,51317,45,50
AL,Clay County,2p1c,634,619,1141,1182,454,417,624,5071,7608,7434,13690,14183,5450,4999,7488,60851,51317,45,50
AL,Clay County,2p2c,634,785,1176,1416,514,1001,686,6211,7608,9414,14108,16992,6168,12009,8236,74536,51317,45,50
AL,Clay County,2p3c,868,958,1191,1650,662,1181,772,7281,10416,11494,14292,19801,7939,14167,9264,87373,51317,45,50
AL,Clay County,2p4c,868,1172,1190,1884,739,1181,739,7773,10416,14066,14283,22610,8871,14167,8864,93277,51317,45,50
AL,Cleburne County,1p0c,479,263,947,474,269,0,459,2891,5748,3154,11370,5687,3226,0,5511,34695,58880,48,27
AL,Cleburne County,1p1c,634,387,1009,708,370,413,460,3982,7608,4648,12110,8496,4441,4950,5526,47779,58880,48,27
AL,Cleburne County,1p2c,634,568,1070,942,435,991,532,5173,7608,6811,12842,11305,5224,11894,6387,62071,58880,48,27
AL,Cleburne County,1p3c,892,757,1111,1176,598,1169,694,6397,10704,9086,13329,14114,7171,14030,8328,76762,58880,48,27
AL,Cleburne County,1p4c,892,927,1131,1410,659,1169,680,6868,10704,11121,13571,16923,7908,14030,8154,82412,58880,48,27
AL,Cleburne County,2p0c,481,482,1101,948,349,0,555,3916,5772,5782,13213,11374,4187,0,6660,46987,58880,48,27
AL,Cleburne County,2p1c,634,600,1158,1182,447,413,621,5054,7608,7197,13899,14183,5364,4950,7447,60649,58880,48,27
AL,Cleburne County,2p2c,634,760,1196,1416,505,991,680,6182,7608,9115,14355,16992,6059,11894,8165,74187,58880,48,27
AL,Cleburne County,2p3c,892,927,1215,1650,659,1169,773,7285,10704,11128,14575,19801,7911,14030,9275,87424,58880,48,27
AL,Cleburne County,2p4c,892,1135,1271,1884,734,1169,755,7841,10704,13618,15257,22610,8813,14030,9063,94096,58880,48,27
AL,Coffee County,1p0c,522,297,926,474,297,0,480,2996,6264,3569,11116,5687,3563,0,5755,35953,69363,16,11
AL,Coffee County,1p1c,692,438,982,708,410,438,498,4166,8304,5260,11779,8496,4915,5261,5982,49997,69363,16,11
AL,Coffee County,1p2c,692,642,1085,942,483,1053,604,5502,8304,7707,13023,11305,5801,12641,7246,66027,69363,16,11
AL,Coffee County,1p3c,990,857,1125,1176,669,1243,820,6880,11880,10281,13502,14114,8030,14911,9840,82558,69363,16,11
AL,Coffee County,1p4c,990,1049,1144,1410,739,1243,838,7412,11880,12585,13725,16923,8864,14911,10052,88941,69363,16,11
AL,Coffee County,2p0c,551,545,1093,948,397,0,597,4132,6612,6543,13118,11374,4767,0,7167,49581,69363,16,11
AL,Coffee County,2p1c,692,679,1200,1182,497,438,684,5371,8304,8144,14398,14183,5960,5261,8206,64456,69363,16,11
AL,Coffee County,2p2c,692,859,1237,1416,562,1053,762,6582,8304,10314,14847,16992,6746,12641,9143,78986,69363,16,11
AL,Coffee County,2p3c,990,1049,1254,1650,739,1243,879,7804,11880,12592,15050,19801,8867,14911,10551,93653,69363,16,11
AL,Coffee County,2p4c,990,1284,1255,1884,824,1243,883,8363,11880,15410,15054,22610,9888,14911,10596,100350,69363,16,11
AL,Colbert County,1p0c,542,248,886,466,286,0,459,2887,6506,2978,10633,5593,3436,0,5502,34650,62369,19,18
AL,Colbert County,1p1c,773,366,939,704,412,443,490,4127,9270,4388,11271,8444,4949,5319,5886,49528,62369,19,18
AL,Colbert County,1p2c,773,536,998,941,474,1141,592,5455,9270,6430,11979,11295,5689,13692,7109,65463,62369,19,18
AL,Colbert County,1p3c,974,715,1038,1179,612,1356,753,6626,11687,8577,12460,14145,7343,16268,9036,79516,62369,19,18
AL,Colbert County,1p4c,974,875,1104,1416,670,1356,765,7160,11687,10499,13251,16996,8039,16268,9178,85918,62369,19,18
AL,Colbert County,2p0c,599,455,1058,932,382,0,571,3997,7188,5459,12696,11187,4583,0,6851,47964,62369,19,18
AL,Colbert County,2p1c,773,566,1114,1170,485,443,650,5200,9270,6794,13364,14037,5821,5319,7798,62403,62369,19,18
AL,Colbert County,2p2c,773,717,1151,1407,540,1141,739,6468,9270,8605,13817,16888,6477,13692,8864,77613,62369,19,18
AL,Colbert County,2p3c,974,875,1223,1645,670,1356,832,7575,11687,10506,14673,19739,8041,16268,9989,90902,62369,19,18
AL,Colbert County,2p4c,974,1071,1225,1882,741,1356,808,8058,11687,12857,14705,22589,8893,16268,9696,96696,62369,19,18
AL,Conecuh County,1p0c,479,256,952,474,266,0,458,2885,5748,3071,11420,5687,3195,0,5496,34617,49227,55,57
AL,Conecuh County,1p1c,634,377,1013,708,366,411,457,3967,7608,4526,12152,8496,4397,4935,5489,47602,49227,55,57
AL,Conecuh County,1p2c,634,553,1072,942,430,988,527,5146,7608,6631,12869,11305,5159,11857,6321,61750,49227,55,57
AL,Conecuh County,1p3c,907,737,1111,1176,596,1166,691,6384,10884,8846,13337,14114,7149,13987,8288,76605,49227,55,57
AL,Conecuh County,1p4c,907,902,1129,1410,656,1166,672,6842,10884,10829,13553,16923,7867,13987,8065,82108,49227,55,57
AL,Conecuh County,2p0c,532,469,1100,948,363,0,567,3979,6384,5630,13196,11374,4353,0,6809,47746,49227,55,57
AL,Conecuh County,2p1c,634,584,1156,1182,441,411,614,5022,7608,7007,13868,14183,5296,4935,7371,60269,49227,55,57
AL,Conecuh County,2p2c,634,740,1192,1416,498,988,672,6139,7608,8875,14306,16992,5972,11857,8058,73668,49227,55,57
AL,Conecuh County,2p3c,907,903,1209,1650,656,1166,767,7257,10884,10835,14503,19801,7870,13987,9205,87085,49227,55,57
AL,Conecuh County,2p4c,907,1105,1209,1884,729,1166,728,7728,10884,13260,14510,22610,8748,13987,8735,92734,49227,55,57
AL,Coosa County,1p0c,520,290,947,474,293,0,481,3005,6240,3476,11366,5687,3520,0,5776,36065,49987,23,55
AL,Coosa County,1p1c,689,427,1011,708,404,418,496,4153,8268,5122,12134,8496,4852,5014,5949,49835,49987,23,55
AL,Coosa County,1p2c,689,625,1073,942,476,1004,576,5386,8268,7505,12876,11305,5715,12047,6915,64632,49987,23,55
AL,Coosa County,1p3c,857,834,1114,1176,613,1184,720,6499,10284,10012,13368,14114,7354,14211,8642,77985,49987,23,55
AL,Coosa County,1p4c,857,1021,1134,1410,681,1184,721,7008,10284,12255,13612,16923,8167,14211,8649,84102,49987,23,55
AL,Coosa County,2p0c,523,531,1098,948,382,0,584,4066,6276,6372,13171,11374,4583,0,7013,48789,49987,23,55
AL,Coosa County,2p1c,689,661,1156,1182,489,418,661,5255,8268,7931,13867,14183,5869,5014,7929,63061,49987,23,55
AL,Coosa County,2p2c,689,837,1194,1416,553,1004,729,6422,8268,10044,14329,16992,6635,12047,8753,77068,49987,23,55
AL,Coosa County,2p3c,857,1022,1213,1650,681,1184,797,7404,10284,12263,14552,19801,8170,14211,9568,88848,49987,23,55
AL,Coosa County,2p4c,857,1251,1215,1884,764,1184,777,7932,10284,15007,14583,22610,9164,14211,9328,95188,49987,23,55
AL,Covington County,1p0c,479,258,933,474,267,0,454,2864,5748,3092,11195,5687,3203,0,5449,34373,55480,53,40
AL,Covington County,1p1c,634,380,988,708,367,414,453,3944,7608,4557,11859,8496,4408,4968,5431,47326,55480,53,40
AL,Covington County,1p2c,634,556,1047,942,431,995,523,5128,7608,6676,12559,11305,5176,11935,6276,61536,55480,53,40
AL,Covington County,1p3c,846,742,1085,1176,575,1173,658,6257,10152,8906,13023,14114,6906,14079,7898,75079,55480,53,40
AL,Covington County,1p4c,846,908,1104,1410,636,1173,633,6711,10152,10902,13245,16923,7629,14079,7599,80529,55480,53,40
AL,Covington County,2p0c,499,472,1091,948,352,0,555,3918,5988,5668,13098,11374,4224,0,6666,47017,55480,53,40
AL,Covington County,2p1c,634,588,1146,1182,443,414,614,5021,7608,7055,13758,14183,5313,4968,7368,60252,55480,53,40
AL,Covington County,2p2c,634,745,1183,1416,500,995,673,6144,7608,8935,14194,16992,5994,11935,8071,73729,55480,53,40
AL,Covington County,2p3c,846,909,1200,1650,636,1173,747,7161,10152,10909,14398,19801,7631,14079,8968,85938,55480,53,40
AL,Covington County,2p4c,846,1112,1201,1884,710,1173,708,7635,10152,13349,14415,22610,8516,14079,8500,91621,55480,53,40
AL,Crenshaw County,1p0c,479,284,956,474,277,0,468,2938,5748,3413,11470,5687,3320,0,5620,35258,59328,40,23
AL,Crenshaw County,1p1c,634,419,1010,708,382,403,469,4025,7608,5031,12118,8496,4579,4834,5633,48298,59328,40,23
AL,Crenshaw County,1p2c,634,614,1065,942,452,968,541,5216,7608,7371,12776,11305,5427,11613,6495,62595,59328,40,23
AL,Crenshaw County,1p3c,789,819,1099,1176,583,1142,662,6270,9468,9833,13190,14114,6993,13699,7938,75236,59328,40,23
AL,Crenshaw County,1p4c,789,1003,1161,1410,649,1142,665,6819,9468,12036,13931,16923,7792,13699,7984,81833,59328,40,23
AL,Crenshaw County,2p0c,481,521,1102,948,363,0,568,3984,5772,6258,13223,11374,4359,0,6820,47805,59328,40,23
AL,Crenshaw County,2p1c,634,649,1153,1182,465,403,634,5120,7608,7789,13839,14183,5579,4834,7604,61435,59328,40,23
AL,Crenshaw County,2p2c,634,822,1185,1416,528,968,693,6246,7608,9864,14224,16992,6331,11613,8321,74953,59328,40,23
AL,Crenshaw County,2p3c,789,1004,1251,1650,650,1142,766,7251,9468,12043,15017,19801,7794,13699,9190,87013,59328,40,23
AL,Crenshaw County,2p4c,789,1228,1248,1884,731,1142,735,7756,9468,14738,14971,22610,8771,13699,8815,93072,59328,40,23
AL,Cullman County,1p0c,494,274,907,474,278,0,458,2885,5928,3289,10880,5687,3340,0,5496,34619,58005,39,30
AL,Cullman County,1p1c,665,404,966,708,387,412,466,4008,7980,4847,11590,8496,4648,4941,5591,48093,58005,39,30
AL,Cullman County,1p2c,665,592,1027,942,455,989,540,5211,7980,7102,12324,11305,5465,11872,6481,62529,58005,39,30
AL,Cullman County,1p3c,898,790,1068,1176,611,1167,697,6407,10776,9474,12820,14114,7337,14004,8359,76885,58005,39,30
AL,Cullman County,1p4c,898,966,1090,1410,676,1167,687,6894,10776,11597,13074,16923,8107,14004,8247,82728,58005,39,30
AL,Cullman County,2p0c,541,502,1069,948,378,0,574,4013,6492,6030,12832,11374,4537,0,6888,48153,58005,39,30
